year,county_name,urbanicity,region,division,pop_category,population,prison_population
1992,Glenn County,rural,West,Pacific,Total,15132,102
1993,Glenn County,rural,West,Pacific,Total,15158,98
1994,Glenn County,rural,West,Pacific,Total,15222,107
1995,Glenn County,rural,West,Pacific,Total,15409,114
1996,Glenn County,rural,West,Pacific,Total,15532,111
1997,Glenn County,rural,West,Pacific,Total,15774,126
1998,Glenn County,rural,West,Pacific,Total,15919,162
1999,Glenn County,rural,West,Pacific,Total,16158,146
2000,Glenn County,rural,West,Pacific,Total,16330,140
2001,Glenn County,rural,West,Pacific,Total,16493,139
2002,Glenn County,rural,West,Pacific,Total,16684,136
2003,Glenn County,rural,West,Pacific,Total,16949,160
2004,Glenn County,rural,West,Pacific,Total,17169,187
2005,Glenn County,rural,West,Pacific,Total,17430,161
2006,Glenn County,rural,West,Pacific,Total,17543,189
2007,Glenn County,rural,West,Pacific,Total,17625,170
2008,Glenn County,rural,West,Pacific,Total,17770,147
2009,Glenn County,rural,West,Pacific,Total,17763,122
2010,Glenn County,rural,West,Pacific,Total,17865,135
2011,Glenn County,rural,West,Pacific,Total,17879,112
2012,Glenn County,rural,West,Pacific,Total,17930,109
2013,Glenn County,rural,West,Pacific,Total,17725,117
2014,Glenn County,rural,West,Pacific,Total,17636,110
2015,Glenn County,rural,West,Pacific,Total,17607,103
2016,Glenn County,rural,West,Pacific,Total,17512,NA
1970,Humboldt County,rural,West,Pacific,Total,63667,NA
1971,Humboldt County,rural,West,Pacific,Total,64444,NA
1972,Humboldt County,rural,West,Pacific,Total,67183,NA
1973,Humboldt County,rural,West,Pacific,Total,68868,NA
1974,Humboldt County,rural,West,Pacific,Total,70442,NA
1975,Humboldt County,rural,West,Pacific,Total,70254,NA
1976,Humboldt County,rural,West,Pacific,Total,71530,NA
1977,Humboldt County,rural,West,Pacific,Total,72688,NA
1978,Humboldt County,rural,West,Pacific,Total,73895,NA
1979,Humboldt County,rural,West,Pacific,Total,74397,NA
1980,Humboldt County,rural,West,Pacific,Total,75300,NA
1981,Humboldt County,rural,West,Pacific,Total,76090,NA
1982,Humboldt County,rural,West,Pacific,Total,75403,NA
1983,Humboldt County,rural,West,Pacific,Total,74793,105
1984,Humboldt County,rural,West,Pacific,Total,74905,97
1985,Humboldt County,rural,West,Pacific,Total,75120,115
1986,Humboldt County,rural,West,Pacific,Total,75199,145
1987,Humboldt County,rural,West,Pacific,Total,75431,221
1988,Humboldt County,rural,West,Pacific,Total,76256,231
1989,Humboldt County,rural,West,Pacific,Total,77334,NA
1990,Humboldt County,rural,West,Pacific,Total,78165,NA
1991,Humboldt County,rural,West,Pacific,Total,78926,289
1992,Humboldt County,rural,West,Pacific,Total,80411,323
1993,Humboldt County,rural,West,Pacific,Total,81135,396
1994,Humboldt County,rural,West,Pacific,Total,80903,440
1995,Humboldt County,rural,West,Pacific,Total,82564,475
1996,Humboldt County,rural,West,Pacific,Total,83121,506
1997,Humboldt County,rural,West,Pacific,Total,84818,505
1998,Humboldt County,rural,West,Pacific,Total,85764,529
1999,Humboldt County,rural,West,Pacific,Total,86364,540
2000,Humboldt County,rural,West,Pacific,Total,86842,512
2001,Humboldt County,rural,West,Pacific,Total,88367,591
2002,Humboldt County,rural,West,Pacific,Total,89658,641
2003,Humboldt County,rural,West,Pacific,Total,90864,714
2004,Humboldt County,rural,West,Pacific,Total,91862,655
2005,Humboldt County,rural,West,Pacific,Total,92796,634
2006,Humboldt County,rural,West,Pacific,Total,93310,677
2007,Humboldt County,rural,West,Pacific,Total,93193,628
2008,Humboldt County,rural,West,Pacific,Total,93401,590
2009,Humboldt County,rural,West,Pacific,Total,93942,583
2010,Humboldt County,rural,West,Pacific,Total,94594,630
2011,Humboldt County,rural,West,Pacific,Total,94912,533
2012,Humboldt County,rural,West,Pacific,Total,94814,427
2013,Humboldt County,rural,West,Pacific,Total,93544,411
2014,Humboldt County,rural,West,Pacific,Total,92664,373
2015,Humboldt County,rural,West,Pacific,Total,91908,386
2016,Humboldt County,rural,West,Pacific,Total,91350,NA
1970,Imperial County,small/mid,West,Pacific,Total,43376,NA
1971,Imperial County,small/mid,West,Pacific,Total,43832,NA
1972,Imperial County,small/mid,West,Pacific,Total,44796,NA
1973,Imperial County,small/mid,West,Pacific,Total,47625,NA
1974,Imperial County,small/mid,West,Pacific,Total,49247,NA
1975,Imperial County,small/mid,West,Pacific,Total,50571,NA
1976,Imperial County,small/mid,West,Pacific,Total,52424,NA
1977,Imperial County,small/mid,West,Pacific,Total,53818,NA
1978,Imperial County,small/mid,West,Pacific,Total,55030,NA
1979,Imperial County,small/mid,West,Pacific,Total,56305,NA
1980,Imperial County,small/mid,West,Pacific,Total,58001,NA
1981,Imperial County,small/mid,West,Pacific,Total,59091,NA
1982,Imperial County,small/mid,West,Pacific,Total,59835,NA
1983,Imperial County,small/mid,West,Pacific,Total,60401,136
1984,Imperial County,small/mid,West,Pacific,Total,60713,142
1985,Imperial County,small/mid,West,Pacific,Total,61778,168
1986,Imperial County,small/mid,West,Pacific,Total,61544,220
1987,Imperial County,small/mid,West,Pacific,Total,62019,226
1988,Imperial County,small/mid,West,Pacific,Total,62891,255
1989,Imperial County,small/mid,West,Pacific,Total,64606,NA
1990,Imperial County,small/mid,West,Pacific,Total,67516,NA
1991,Imperial County,small/mid,West,Pacific,Total,71044,173
1992,Imperial County,small/mid,West,Pacific,Total,75225,220
1993,Imperial County,small/mid,West,Pacific,Total,81763,228
1994,Imperial County,small/mid,West,Pacific,Total,83128,241
1995,Imperial County,small/mid,West,Pacific,Total,85473,286
1996,Imperial County,small/mid,West,Pacific,Total,86165,280
1997,Imperial County,small/mid,West,Pacific,Total,87257,310
1998,Imperial County,small/mid,West,Pacific,Total,88524,282
1999,Imperial County,small/mid,West,Pacific,Total,89913,324
2000,Imperial County,small/mid,West,Pacific,Total,91155,335
2001,Imperial County,small/mid,West,Pacific,Total,92363,356
2002,Imperial County,small/mid,West,Pacific,Total,93795,365
2003,Imperial County,small/mid,West,Pacific,Total,96357,310
2004,Imperial County,small/mid,West,Pacific,Total,98978,359
2005,Imperial County,small/mid,West,Pacific,Total,101930,375
2006,Imperial County,small/mid,West,Pacific,Total,105138,370
2007,Imperial County,small/mid,West,Pacific,Total,108053,381
2008,Imperial County,small/mid,West,Pacific,Total,110231,375
2009,Imperial County,small/mid,West,Pacific,Total,112874,364
2010,Imperial County,small/mid,West,Pacific,Total,114473,385
2011,Imperial County,small/mid,West,Pacific,Total,114575,368
2012,Imperial County,small/mid,West,Pacific,Total,115310,326
2013,Imperial County,small/mid,West,Pacific,Total,115557,325
2014,Imperial County,small/mid,West,Pacific,Total,114646,332
2015,Imperial County,small/mid,West,Pacific,Total,115033,358
2016,Imperial County,small/mid,West,Pacific,Total,115071,NA
1970,Inyo County,rural,West,Pacific,Total,9697,NA
1971,Inyo County,rural,West,Pacific,Total,9824,NA
1972,Inyo County,rural,West,Pacific,Total,9632,NA
1973,Inyo County,rural,West,Pacific,Total,10262,NA
1974,Inyo County,rural,West,Pacific,Total,10526,NA
1975,Inyo County,rural,West,Pacific,Total,10743,NA
1976,Inyo County,rural,West,Pacific,Total,10870,NA
1977,Inyo County,rural,West,Pacific,Total,10990,NA
1978,Inyo County,rural,West,Pacific,Total,10425,NA
1979,Inyo County,rural,West,Pacific,Total,11333,NA
1980,Inyo County,rural,West,Pacific,Total,11421,NA
1981,Inyo County,rural,West,Pacific,Total,11416,NA
1982,Inyo County,rural,West,Pacific,Total,11650,NA
1983,Inyo County,rural,West,Pacific,Total,11594,18
1984,Inyo County,rural,West,Pacific,Total,11407,15
1985,Inyo County,rural,West,Pacific,Total,11291,25
1986,Inyo County,rural,West,Pacific,Total,11096,28
1987,Inyo County,rural,West,Pacific,Total,10985,40
1988,Inyo County,rural,West,Pacific,Total,11018,48
1989,Inyo County,rural,West,Pacific,Total,11184,NA
1990,Inyo County,rural,West,Pacific,Total,11029,NA
1991,Inyo County,rural,West,Pacific,Total,10936,58
1992,Inyo County,rural,West,Pacific,Total,10970,76
1993,Inyo County,rural,West,Pacific,Total,10898,68
1994,Inyo County,rural,West,Pacific,Total,10930,70
1995,Inyo County,rural,West,Pacific,Total,10924,75
1996,Inyo County,rural,West,Pacific,Total,10891,78
1997,Inyo County,rural,West,Pacific,Total,11003,89
1998,Inyo County,rural,West,Pacific,Total,10990,76
1999,Inyo County,rural,West,Pacific,Total,10992,87
2000,Inyo County,rural,West,Pacific,Total,11030,74
2001,Inyo County,rural,West,Pacific,Total,11179,72
2002,Inyo County,rural,West,Pacific,Total,11395,83
2003,Inyo County,rural,West,Pacific,Total,11582,80
2004,Inyo County,rural,West,Pacific,Total,11555,83
2005,Inyo County,rural,West,Pacific,Total,11643,100
2006,Inyo County,rural,West,Pacific,Total,11699,108
2007,Inyo County,rural,West,Pacific,Total,11744,95
2008,Inyo County,rural,West,Pacific,Total,11692,95
2009,Inyo County,rural,West,Pacific,Total,11813,100
2010,Inyo County,rural,West,Pacific,Total,11822,75
2011,Inyo County,rural,West,Pacific,Total,11800,60
2012,Inyo County,rural,West,Pacific,Total,11720,48
2013,Inyo County,rural,West,Pacific,Total,11606,50
2014,Inyo County,rural,West,Pacific,Total,11472,50
2015,Inyo County,rural,West,Pacific,Total,11345,45
2016,Inyo County,rural,West,Pacific,Total,11112,NA
1970,Kern County,small/mid,West,Pacific,Total,203221,NA
1971,Kern County,small/mid,West,Pacific,Total,207301,NA
1972,Kern County,small/mid,West,Pacific,Total,209185,NA
1973,Kern County,small/mid,West,Pacific,Total,214917,NA
1974,Kern County,small/mid,West,Pacific,Total,217574,NA
1975,Kern County,small/mid,West,Pacific,Total,227113,NA
1976,Kern County,small/mid,West,Pacific,Total,235383,NA
1977,Kern County,small/mid,West,Pacific,Total,239802,NA
1978,Kern County,small/mid,West,Pacific,Total,244246,NA
1979,Kern County,small/mid,West,Pacific,Total,255265,NA
1980,Kern County,small/mid,West,Pacific,Total,264235,NA
1981,Kern County,small/mid,West,Pacific,Total,272135,NA
1982,Kern County,small/mid,West,Pacific,Total,280950,NA
1983,Kern County,small/mid,West,Pacific,Total,288443,1338
1984,Kern County,small/mid,West,Pacific,Total,295959,1452
1985,Kern County,small/mid,West,Pacific,Total,305117,1723
1986,Kern County,small/mid,West,Pacific,Total,312251,1925
1987,Kern County,small/mid,West,Pacific,Total,318373,2161
1988,Kern County,small/mid,West,Pacific,Total,325386,2448
1989,Kern County,small/mid,West,Pacific,Total,334585,NA
1990,Kern County,small/mid,West,Pacific,Total,344969,NA
1991,Kern County,small/mid,West,Pacific,Total,354796,3052
1992,Kern County,small/mid,West,Pacific,Total,369070,3235
1993,Kern County,small/mid,West,Pacific,Total,372961,3248
1994,Kern County,small/mid,West,Pacific,Total,381942,3573
1995,Kern County,small/mid,West,Pacific,Total,384471,3881
1996,Kern County,small/mid,West,Pacific,Total,388314,4541
1997,Kern County,small/mid,West,Pacific,Total,396546,5113
1998,Kern County,small/mid,West,Pacific,Total,405536,5109
1999,Kern County,small/mid,West,Pacific,Total,417071,5220
2000,Kern County,small/mid,West,Pacific,Total,424290,5286
2001,Kern County,small/mid,West,Pacific,Total,435063,5331
2002,Kern County,small/mid,West,Pacific,Total,448642,5584
2003,Kern County,small/mid,West,Pacific,Total,463630,5501
2004,Kern County,small/mid,West,Pacific,Total,479623,5359
2005,Kern County,small/mid,West,Pacific,Total,497617,5281
2006,Kern County,small/mid,West,Pacific,Total,515491,5219
2007,Kern County,small/mid,West,Pacific,Total,529237,5027
2008,Kern County,small/mid,West,Pacific,Total,539056,5007
2009,Kern County,small/mid,West,Pacific,Total,547484,4898
2010,Kern County,small/mid,West,Pacific,Total,554134,4828
2011,Kern County,small/mid,West,Pacific,Total,555057,4329
2012,Kern County,small/mid,West,Pacific,Total,560016,3683
2013,Kern County,small/mid,West,Pacific,Total,561443,3895
2014,Kern County,small/mid,West,Pacific,Total,565380,3727
2015,Kern County,small/mid,West,Pacific,Total,569845,3558
2016,Kern County,small/mid,West,Pacific,Total,574209,NA
1970,Kings County,small/mid,West,Pacific,Total,40794,NA
1971,Kings County,small/mid,West,Pacific,Total,40932,NA
1972,Kings County,small/mid,West,Pacific,Total,42404,NA
1973,Kings County,small/mid,West,Pacific,Total,42895,NA
1974,Kings County,small/mid,West,Pacific,Total,43591,NA
1975,Kings County,small/mid,West,Pacific,Total,44778,NA
1976,Kings County,small/mid,West,Pacific,Total,45612,NA
1977,Kings County,small/mid,West,Pacific,Total,46396,NA
1978,Kings County,small/mid,West,Pacific,Total,47105,NA
1979,Kings County,small/mid,West,Pacific,Total,47177,NA
1980,Kings County,small/mid,West,Pacific,Total,47760,NA
1981,Kings County,small/mid,West,Pacific,Total,49362,NA
1982,Kings County,small/mid,West,Pacific,Total,50877,NA
1983,Kings County,small/mid,West,Pacific,Total,52928,152
1984,Kings County,small/mid,West,Pacific,Total,54409,195
1985,Kings County,small/mid,West,Pacific,Total,56115,203
1986,Kings County,small/mid,West,Pacific,Total,57103,241
1987,Kings County,small/mid,West,Pacific,Total,58238,324
1988,Kings County,small/mid,West,Pacific,Total,62555,351
1989,Kings County,small/mid,West,Pacific,Total,66075,378
1990,Kings County,small/mid,West,Pacific,Total,66927,405
1991,Kings County,small/mid,West,Pacific,Total,68161,432
1992,Kings County,small/mid,West,Pacific,Total,70265,429
1993,Kings County,small/mid,West,Pacific,Total,71168,570
1994,Kings County,small/mid,West,Pacific,Total,72514,631
1995,Kings County,small/mid,West,Pacific,Total,73713,617
1996,Kings County,small/mid,West,Pacific,Total,74620,680
1997,Kings County,small/mid,West,Pacific,Total,75855,775
1998,Kings County,small/mid,West,Pacific,Total,80599,814
1999,Kings County,small/mid,West,Pacific,Total,85509,861
2000,Kings County,small/mid,West,Pacific,Total,88565,997
2001,Kings County,small/mid,West,Pacific,Total,91098,969
2002,Kings County,small/mid,West,Pacific,Total,92972,1095
2003,Kings County,small/mid,West,Pacific,Total,96034,1167
2004,Kings County,small/mid,West,Pacific,Total,99516,1211
2005,Kings County,small/mid,West,Pacific,Total,100476,1218
2006,Kings County,small/mid,West,Pacific,Total,102559,1344
2007,Kings County,small/mid,West,Pacific,Total,104410,1328
2008,Kings County,small/mid,West,Pacific,Total,105265,1334
2009,Kings County,small/mid,West,Pacific,Total,104926,1444
2010,Kings County,small/mid,West,Pacific,Total,105187,1488
2011,Kings County,small/mid,West,Pacific,Total,104640,1343
2012,Kings County,small/mid,West,Pacific,Total,104020,1217
2013,Kings County,small/mid,West,Pacific,Total,103314,1297
2014,Kings County,small/mid,West,Pacific,Total,102389,1186
2015,Kings County,small/mid,West,Pacific,Total,101316,988
2016,Kings County,small/mid,West,Pacific,Total,101466,NA
1970,Lake County,rural,West,Pacific,Total,11249,NA
1971,Lake County,rural,West,Pacific,Total,11925,NA
1972,Lake County,rural,West,Pacific,Total,12482,NA
1973,Lake County,rural,West,Pacific,Total,13585,NA
1974,Lake County,rural,West,Pacific,Total,13997,NA
1975,Lake County,rural,West,Pacific,Total,15040,NA
1976,Lake County,rural,West,Pacific,Total,16285,NA
1977,Lake County,rural,West,Pacific,Total,17713,NA
1978,Lake County,rural,West,Pacific,Total,19428,NA
1979,Lake County,rural,West,Pacific,Total,21004,NA
1980,Lake County,rural,West,Pacific,Total,22228,NA
1981,Lake County,rural,West,Pacific,Total,23181,NA
1982,Lake County,rural,West,Pacific,Total,23840,NA
1983,Lake County,rural,West,Pacific,Total,24733,63
1984,Lake County,rural,West,Pacific,Total,25756,86
1985,Lake County,rural,West,Pacific,Total,26613,98
1986,Lake County,rural,West,Pacific,Total,26830,129
1987,Lake County,rural,West,Pacific,Total,27211,172
1988,Lake County,rural,West,Pacific,Total,27506,239
1989,Lake County,rural,West,Pacific,Total,27934,NA
1990,Lake County,rural,West,Pacific,Total,28942,NA
1991,Lake County,rural,West,Pacific,Total,30029,243
1992,Lake County,rural,West,Pacific,Total,31008,237
1993,Lake County,rural,West,Pacific,Total,31677,262
1994,Lake County,rural,West,Pacific,Total,32185,253
1995,Lake County,rural,West,Pacific,Total,32416,274
1996,Lake County,rural,West,Pacific,Total,32599,304
1997,Lake County,rural,West,Pacific,Total,32909,332
1998,Lake County,rural,West,Pacific,Total,33640,335
1999,Lake County,rural,West,Pacific,Total,34396,353
2000,Lake County,rural,West,Pacific,Total,35696,407
2001,Lake County,rural,West,Pacific,Total,37251,417
2002,Lake County,rural,West,Pacific,Total,38539,450
2003,Lake County,rural,West,Pacific,Total,39610,488
2004,Lake County,rural,West,Pacific,Total,40551,513
2005,Lake County,rural,West,Pacific,Total,41455,538
2006,Lake County,rural,West,Pacific,Total,42070,554
2007,Lake County,rural,West,Pacific,Total,42031,548
2008,Lake County,rural,West,Pacific,Total,42112,492
2009,Lake County,rural,West,Pacific,Total,42000,436
2010,Lake County,rural,West,Pacific,Total,42130,401
2011,Lake County,rural,West,Pacific,Total,42177,359
2012,Lake County,rural,West,Pacific,Total,41685,319
2013,Lake County,rural,West,Pacific,Total,40909,320
2014,Lake County,rural,West,Pacific,Total,40341,329
2015,Lake County,rural,West,Pacific,Total,39956,337
2016,Lake County,rural,West,Pacific,Total,39545,NA
1970,Lassen County,rural,West,Pacific,Total,11160,NA
1971,Lassen County,rural,West,Pacific,Total,11411,NA
1972,Lassen County,rural,West,Pacific,Total,11744,NA
